the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,81,Upper Katablangan ES,87000,NA,NA,219017,38021,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Upper Katablangan Elementary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,47,Mabaguio PS,59000,NA,NA,219018,38022,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mabaguio Primary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Southern Conner,64,Mabiga Elementary School,67000,NA,NA,219020,38023,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mabiga Elementary School, Conner, Apayao"
NA,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,24,Iyapan PS,46000,NA,NA,220023,38079,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Iyapan Primary School, Kabugao (Capital), Apayao"
NA,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,34,Kagawadan PS,45000,NA,NA,220024,38080,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kagawadan Primary School, Kabugao (Capital), Apayao"
NA,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,22,Paco Valley PS,43000,NA,NA,220025,38081,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Paco Valley Primary School, Kabugao (Capital), Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,465,Conner Central NHS Main,720000,NA,NA,305111,46119,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Main, Conner, Apayao"
NA,SS,CAR,Apayao,Luna,Apayao,Luna,414,Luna National High School Main,479000,NA,NA,305116,46124,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Luna National High School Main, Luna, Apayao"
NA,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,200,Mayor Bartolome Serut NATHS-Main,329000,NA,NA,305119,46127,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mayor Bartolome Serut NATHS-Main, Kabugao (Capital), Apayao"
NA,SS,CAR,Apayao,Pudtol,Apayao,Pudtol,448,Pudtol NHS,494000,NA,NA,305123,46131,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pudtol National High School, Pudtol, Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,248,Conner Central NHS Talifugo Annex,329000,NA,NA,318802,46295,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Talifugo Annex, Conner, Apayao"
NA,SS,CAR,Apayao,Conner,Apayao,Calanasan,173,Conner Central NHS Cupis Annex,204000,NA,NA,318803,46296,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Conner Central National High School Cupis Annex, Conner, Apayao"
NA,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,228,Kabugao Agro-Ind'l. HS - Lenneng Annex,234000,NA,NA,318806,46299,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kabugao Agro-Ind'l. High School - Lenneng Annex, Kabugao (Capital), Apayao"
